Atualizado em: 2025-01-27
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"120";"0";"2,5";"1,67"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"88";"1,14";"5,75";"2,3"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"324";"1,23";"10,31";"5"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBIZ";"PREFEITO RENATO MOREIRA(MA, BRASIL)";"30";"0";"10";"3,33"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"83";"0";"2,41";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBJU";"ORLANDO BEZERRA DE MENEZES(CE, BRASIL)";"16";"0";"6,25";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"166";"3,01";"17,39";"6,21"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBMA";"JOÃO CORREA DA ROCHA(PA, BRASIL)";"56";"0";"3,57";"1,79"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"82";"0";"2,44";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBMQ";"ALBERTO ALCOLUMBRE(AP, BRASIL)";"31";"0";"3,23";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"91";"0";"5,49";"1,1"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBPJ";"BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL)";"58";"0";"12,07";"1,72"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"35";"0";"2,86";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBPV";"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL)";"58";"1,72";"14,04";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBRB";"PLÁCIDO DE CASTRO(AC, BRASIL)";"75";"0";"8";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"221";"0,9";"10,5";"5,02"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBRJ";"SANTOS DUMONT(RJ, BRASIL)";"392";"2,81";"2,62";"1,31"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBRP";"LEITE LOPES(SP, BRASIL)";"26";"100";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"83";"1,2";"6,1";"3,66"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSI";"PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL)";"30";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSL";"MARECHAL CUNHA MACHADO(MA, BRASIL)";"62";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSN";"MAESTRO WILSON FONSECA(PA, BRASIL)";"31";"3,23";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"707";"1,27";"11,32";"2,87"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"185";"0,54";"7,07";"2,72"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"90";"1,11";"10,11";"3,37"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"52";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"13";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"31";"0";"6,45";"3,23"
"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"30";"0";"13,33";"6,67"
"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"78";"0";"1,28";"0"
"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"30";"0";"3,33";"0"
"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"5";"0";"20";"20"
"SBBW";"BARRA DO GARÇAS(MT, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"18";"55,56";"12,5";"12,5"
"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"52";"17,31";"16,28";"4,65"
"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"70";"4,29";"7,46";"5,97"
"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"73";"30,14";"15,69";"7,84"
"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"25";"0";"0"
"SBCB";"CABO FRIO(RJ, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"37";"5,41";"17,14";"5,71"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"12";"0";"41,67";"25"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"9";"0";"44,44";"22,22"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"27";"3,7";"0";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"40";"2,5";"5,13";"2,56"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"9";"0";"22,22";"11,11"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBAR";"SANTA MARIA(SE, BRASIL)";"37";"2,7";"5,56";"2,78"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBAX";"ROMEU ZEMA(MG, BRASIL)";"17";"5,88";"12,5";"6,25"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"79";"3,8";"19,74";"6,58"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"262";"2,29";"13,67";"5,47"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBCB";"CABO FRIO(RJ, BRASIL)";"37";"2,7";"16,67";"5,56"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBCJ";"CARAJÁS(PA, BRASIL)";"45";"2,22";"4,55";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBCN";"NELSON RODRIGUES GUIMARÃES(GO, BRASIL)";"9";"0";"11,11";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"58";"5,17";"12,73";"1,82"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"50";"6";"8,51";"4,26"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"29";"0";"3,45";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBFI";"CATARATAS(PR, BRASIL)";"4";"25";"0";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"41";"4,88";"17,95";"2,56"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"69";"1,45";"14,71";"2,94"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"275";"4,73";"12,6";"3,82"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"126";"6,35";"13,56";"5,93"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"420";"2,14";"14,84";"6,08"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBGV";"CORONEL ALTINO MACHADO(MG, BRASIL)";"63";"11,11";"14,29";"12,5"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"49";"0";"12,24";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBIP";"USIMINAS(MG, BRASIL)";"109";"7,34";"21,78";"10,89"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBIZ";"PREFEITO RENATO MOREIRA(MA, BRASIL)";"22";"0";"13,64";"4,55"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBJE";"JERICOACORA(CE, BRASIL)";"15";"6,67";"14,29";"7,14"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"31";"6,45";"6,9";"6,9"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBJR";"JACAREPAGUÁ(RJ, BRASIL)";"124";"19,35";"25";"18"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBKG";"PRESIDENTE JOÃO SUASSUNA(PB, BRASIL)";"18";"11,11";"6,25";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"269";"11,15";"20,5";"10,88"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBLE";"HORÁCIO DE MATTOS(BA, BRASIL)";"9";"0";"11,11";"11,11"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBMA";"JOÃO CORREA DA ROCHA(PA, BRASIL)";"29";"0";"6,9";"6,9"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBMK";"MÁRIO RIBEIRO(MG, BRASIL)";"124";"5,65";"12,82";"4,27"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"71";"2,82";"8,7";"1,45"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBNF";"MINISTRO VICTOR KONDER(SC, BRASIL)";"6";"0";"0";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"32";"0";"25";"3,13"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBPJ";"BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL)";"20";"15";"11,76";"5,88"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"160";"1,25";"11,39";"5,7"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBPV";"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL)";"24";"0";"4,17";"4,17"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBRB";"PLÁCIDO DE CASTRO(AC, BRASIL)";"31";"3,23";"3,33";"3,33"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"206";"7,28";"15,18";"5,76"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBRJ";"SANTOS DUMONT(RJ, BRASIL)";"150";"1,33";"8,78";"1,35"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBRP";"LEITE LOPES(SP, BRASIL)";"48";"2,08";"17,02";"2,13"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"50";"6";"14,89";"10,64"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSL";"MARECHAL CUNHA MACHADO(MA, BRASIL)";"29";"0";"20,69";"10,34"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSN";"MAESTRO WILSON FONSECA(PA, BRASIL)";"7";"0";"14,29";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSO";"REGIONAL DE SORRISO ADOLINO BEDIN(MT, BRASIL)";"14";"7,14";"76,92";"53,85"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"665";"3,01";"13,8";"4,81"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSR";"PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL)";"57";"1,75";"7,14";"3,57"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"200";"4,5";"13,61";"5,24"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBTC";"HOTEL TRANSAMÉRICA(AERODROMO PRIVADO)(BA, BRASIL)";"5";"0";"0";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"23";"4,35";"13,64";"4,55"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"123";"8,13";"15,93";"7,08"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBUR";"MÁRIO DE ALMEIDA FRANCO(MG, BRASIL)";"29";"0";"20,69";"6,9"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBVC";"GLAUBER DE ANDRADE ROCHA(BA, BRASIL)";"24";"4,17";"8,7";"4,35"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBVG";"MAJOR BRIGADEIRO TROMPOWSKY(MG, BRASIL)";"13";"23,08";"40";"20"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"124";"7,26";"20,87";"7,83"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"22";"0";"22,73";"4,55"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNBR";"BARREIRAS(BA, BRASIL)";"30";"0";"10";"6,67"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNDV";"BRIGADEIRO CABRAL(MG, BRASIL)";"26";"23,08";"35";"10"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNGI";"GUANAMBI(BA, BRASIL)";"22";"0";"9,09";"4,55"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNJM";"AEROPORTO ELIAS BREDER(MG, BRASIL)";"9";"33,33";"33,33";"16,67"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNLN";"AERÓDROMO MUNICIPAL DE LINHARES(ES, BRASIL)";"9";"22,22";"0";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNPD";"PATOS DE MINAS(MG, BRASIL)";"13";"0";"23,08";"7,69"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNSS";"SALINAS(MG, BRASIL)";"12";"33,33";"50";"0"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNTO";"JUSCELINO KUBITSCHECK(MG, BRASIL)";"17";"5,88";"18,75";"12,5"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"SNZR";"PARACATU(MG, BRASIL)";"9";"11,11";"50";"25"
"SBCF";"TANCREDO NEVES(MG, BRASIL)";"TNCC";"HATO INTERNATIONAL AIRPORT(CURAÇAO)";"15";"0";"33,33";"6,67"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"60";"1,67";"8,47";"3,39"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"25";"4";"4,17";"0"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"20";"0";"20";"10"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"195";"1,03";"5,7";"1,04"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"115";"9,57";"7,69";"1,92"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"4";"0";"0";"0"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"5";"0";"0";"0"
"SBCG";"CAMPO GRANDE(MS, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"71";"1,41";"17,14";"11,43"
"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"31";"0";"6,45";"3,23"
"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"61";"0";"11,48";"4,92"
"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"74";"6,76";"7,25";"4,35"
"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"27";"0";"22,22";"7,41"
"SBCJ";"CARAJÁS(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"36";"11,11";"21,88";"12,5"
"SBCJ";"CARAJÁS(PA, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"45";"2,22";"18,18";"13,64"
"SBCJ";"CARAJÁS(PA, BRASIL)";"SDOW";"OURILÂNDIA DO NORTE(PA, BRASIL)";"12";"16,67";"30";"10"
"SBCN";"NELSON RODRIGUES GUIMARÃES(GO, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"0";"0";"0"
"SBCN";"NELSON RODRIGUES GUIMARÃES(GO, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"12";"0";"0";"0"
"SBCP";"BARTOLOMEU LISANDRO(RJ, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"27";"11,11";"16,67";"8,33"
"SBCR";"CORUMBÁ(MS, BRASIL)";"SBDB";"BONITO(MS, BRASIL)";"14";"0";"7,14";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"24";"4,17";"8,7";"4,35"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"102";"0";"9,8";"2,94"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"52";"15,38";"25";"9,09"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"59";"6,78";"7,27";"3,64"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBCG";"CAMPO GRANDE(MS, BRASIL)";"25";"4";"20,83";"12,5"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"28";"0";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBFI";"CATARATAS(PR, BRASIL)";"90";"1,11";"16,85";"5,62"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"16";"6,25";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"153";"0,65";"12,5";"1,97"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"406";"4,43";"17,01";"4,64"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"222";"13,96";"17,28";"7,33"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBLO";"GOVERNADOR JOSÉ RICHA(PR, BRASIL)";"50";"10";"4,44";"2,22"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBMG";"SÍLVIO NAME JÚNIOR(PR, BRASIL)";"55";"12,73";"10,42";"2,08"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"0";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"92";"0";"6,52";"2,17"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBPO";"JUVENAL LOUREIRO CARDOSO(PR, BRASIL)";"15";"6,67";"14,29";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"11,11";"11,11"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"594";"3,87";"9,98";"3,15"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"13";"0";"15,38";"7,69"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"23";"4,35";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"9";"0";"11,11";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"13";"0";"38,46";"7,69"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SSGY";"GUAÍRA(PR, BRASIL)";"9";"22,22";"14,29";"14,29"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SSUM";"ORLANDO DE CARVALHO(PR, BRASIL)";"10";"40";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SSUV";"JOSÉ CLETO(PR, BRASIL)";"7";"57,14";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SSVL";"TELÊMACO BORBA (SBTL*)(PR, BRASIL)";"10";"60";"0";"0"
"SBCT";"AFONSO PENA(PR, BRASIL)";"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"9";"0";"33,33";"11,11"
"SBCX";"REGIONAL HUGO CANTERGIANI(RS, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"30";"0";"10";"6,67"
"SBCX";"REGIONAL HUGO CANTERGIANI(RS, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"31";"3,23";"23,33";"10"
"SBCX";"REGIONAL HUGO CANTERGIANI(RS, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"31";"3,23";"16,67";"3,33"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBAT";"PILOTO OSVALDO MARQUES DIAS(MT, BRASIL)";"21";"9,52";"0";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"72";"0";"4,17";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBBW";"BARRA DO GARÇAS(MT, BRASIL)";"18";"55,56";"12,5";"12,5"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"50";"12";"9,09";"0"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBCG";"CAMPO GRANDE(MS, BRASIL)";"20";"0";"10";"5"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"28";"3,57";"7,41";"3,7"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"54";"11,11";"10,42";"6,25"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"301";"1";"6,38";"3,02"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBJI";"JI-PARANÁ(RO, BRASIL)";"12";"0";"16,67";"8,33"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"130";"6,15";"10,66";"4,92"
"SBCY";"MARECHAL RONDON(MT, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"0";"0";"0"
